"","trdar_cd_nm","lon","lat"
"6417","목동중앙로3길",126.8685455,37.5378317
"6433","목동중앙본로7길",126.8673511,37.5394996
"6449","목동중앙북로16길",126.8728807,37.5437211
"6465","목동중앙북로8길",126.8664435,37.5456576
"6481","목동중앙서로7길",126.8660262,37.5336206
"6497","목동중앙서로8가길",126.8649288,37.5309542
"6513","무수막길",127.0227953,37.5511116
"6529","무학로16길",127.0317835,37.5707587
"6545","무학로45길",127.0277012,37.5800485
"6561","무학로6길",127.033126,37.565077
"6577","무학봉28길",127.0335792,37.5617126
"6593","무학봉길",127.0281856,37.5607632
"6609","문성로5길",126.9050001,37.4783102
"6625","미성5길",126.9151269,37.4737638
"6641","바우뫼로39길",127.0395285,37.4821069
"6657","반포대로9길",127.0091222,37.4828731
"6673","방배로18길",126.9981081,37.4858934
"6689","방배로35길",126.9880595,37.4925271
"6705","방배로42길",126.9901513,37.4944967
"6721","방배중앙로21길",126.9845644,37.492122
"6737","방배천로4안길",126.9833312,37.4803714
"6753","방울내로9안길",126.9002297,37.5607969
"6769","방학로10길",127.0341054,37.6640702
"6785","방학로15길",127.0238181,37.6603412
"6801","방학로5길",127.0382371,37.6614038
"6817","방학로6가길",127.0384357,37.6653933
"6833","방화대로21길",126.8127391,37.5638421
"6849","방화대로6라길",126.8183559,37.5557394
"6865","백범로16길",126.9424791,37.5468785
"6881","백범로79길",126.9645332,37.5412058
"6897","백범로90길",126.969245,37.5374207
"6913","백석동길",126.9670279,37.5953856
"6929","백제고분로21길",127.0908246,37.5056381
"6945","백제고분로22길",127.0889823,37.502055
"6961","백제고분로31길",127.0952442,37.5038326
"6977","백제고분로32길",127.0943942,37.4998633
"6993","백제고분로33길",127.0987532,37.5043861
"7009","백제고분로34길",127.0988138,37.5005541
"7025","백제고분로39길",127.1043148,37.5058869
"7041","백제고분로42길",127.1099911,37.5052344
"7057","백제고분로45길",127.1095702,37.5097005
"7073","백제고분로46길",127.1137929,37.5075478
"7089","백제고분로50길",127.1182633,37.5133452
"7105","범안로11길",126.8911737,37.4680761
"7121","범안로17길",126.8937169,37.4680863
"7137","법원단지9길",126.9221239,37.4752599
"7153","법원단지길",126.9213333,37.474634
"7169","벚꽃로56길",126.8845978,37.482747
"7185","보국문로16길",127.0103108,37.6129005
"7201","보문로13길",127.0196542,37.5798653
"7217","보문로26길",127.0207861,37.5870959
"7233","보문로31길",127.0144816,37.5874488
"7249","보문로32길",127.0197479,37.5901028
"7265","복은길",126.9391032,37.4745891
"7281","봉우재로33길",127.088409,37.5942987
"7297","봉은사로109길",127.0633745,37.5174074
"7313","봉은사로29길",127.0342797,37.5091694
"7329","봉은사로43길",127.0395644,37.511278
"7345","봉은사로57길",127.044588,37.512626
"7361","봉은사로68길",127.0511494,37.5101005
"7377","봉천로13길",126.9307895,37.4902328
"7393","봉천로33길",126.9441274,37.4848436
"7409","봉화산로30길",127.0852079,37.5992809
"7425","봉화산로4길",127.07529,37.5994082
"7441","봉화산로56길",127.0979026,37.6043989
"7457","부일로11길",126.8308325,37.495679
"7473","부일로15길",126.8330298,37.4943019
"7489","부일로1길",126.8191554,37.4933739
"7505","북아현로4길",126.9583898,37.5597105
"7521","북촌로11길",126.9838361,37.5831553
"7537","북촌로5길",126.9836008,37.5795376
"7553","북촌로5나길",126.9823805,37.5830559
"7569","불광천길",126.9150787,37.5922235
"7585","사가정로13길",127.0587175,37.579611
"7601","사가정로23가길",127.0719208,37.5801334
"7617","사가정로2길",127.0535421,37.568972
"7633","사가정로42길",127.0824743,37.5787398
"7649","사가정로54길",127.0874945,37.5789821
"7665","사근동길",127.045489,37.5603172
"7681","사당로16가길",126.9708794,37.4839673
"7697","사당로16길",126.9714636,37.4801925
"7713","사당로20길",126.9747901,37.4804371
"7729","사당로23길",126.9719905,37.4891624
"7745","사당로23나길",126.9748396,37.4872389
"7761","사당로26길",126.9779727,37.4794467
"7777","사당로29길",126.9773555,37.4861644
"7793","사당로2차길",126.9660472,37.4871214
"7809","사당로30길",126.9808225,37.4807642
"7825","사당로8길",126.9682748,37.4835542
"7841","사임당로17길",127.0187788,37.4921846
"7857","사평대로22길",126.9975644,37.4977817
"7873","사평대로26길",126.9989049,37.4984167
"7889","사평대로57길",127.0222083,37.506945
"7905","삼각산로28길",127.0198882,37.6384924
"7921","삼선교로10길",127.0094957,37.5858498
"7937","삼선교로10다길",127.008679,37.5849979
"7953","삼선교로16가길",127.0116099,37.5844757
"7969","삼성로115길",127.0494282,37.5143321
"7985","삼성로147길",127.0461968,37.5213942
"8001","삼성로57길",127.0582793,37.497349
"8017","삼성로63길",127.057647,37.4997134
"8033","삼성로64길",127.0627992,37.5004466
"8049","삼성로69길",127.0570152,37.5010505
"8065","삼성로75길",127.0552536,37.503009
"8081","삼양로144길",127.0141472,37.6517028
"8097","삼양로20길",127.0234682,37.6144675
"8113","삼양로24길",127.0225053,37.6171174
"8129","삼양로27길",127.0194937,37.6185492
"8145","삼양로41길",127.0175304,37.621758
"8161","삼양로54길",127.0224032,37.6236253
"8177","삼양로77길",127.0154847,37.629088
"8193","삼양로8길",127.0247112,37.6083037
"8209","삼양로93길",127.0162564,37.6374493
"8225","삼일대로4길",126.9898736,37.5620069
"8241","삼전로13길",127.086932,37.5075405
"8257","삼청로5길",126.9806183,37.5828725
"8273","상계로12길",127.0693811,37.6565894
"8289","상계로1길",127.062051,37.6583056
"8305","상계로9가길",127.0675733,37.6594541
"8321","상도로15길",126.9362517,37.5041193
"8337","상도로37길",126.9506584,37.5005225
"8353","상도로47길",126.951912,37.5021171
"8369","상도로61길",126.957003,37.4947067
"8385","상도로62길",126.9534595,37.4955491
"8401","상암로14길",127.1295459,37.5472051
"8417","상암로4길",127.125598,37.5478953
"8433","상암로51길",127.1462573,37.5475097
"8449","상암로5길",127.1276393,37.5521609
"8465","상원12길",127.0496202,37.55037
"8481","상원길",127.0482514,37.5485056
"8497","상일로5길",127.1720915,37.5491539
"8513","새말로18길",126.8922812,37.5035555
"8529","서달로10길",126.9628552,37.5039268
"8545","서달로14길",126.9649477,37.5072856
"8561","서달로15길",126.9622803,37.508614
"8577","서달로8가길",126.9625986,37.5055607
"8593","서림7길",126.9410688,37.4728059
"8609","서빙고로71길",126.9956626,37.5223526
"8625","서오릉로21길",126.9064354,37.6142936
"8641","서오릉로8길",126.9233954,37.6088148
"8657","서울숲2길",127.0410318,37.5469608
"8673","서울시립대로16길",127.0537941,37.5788421
"8689","서울시립대로29길",127.0546755,37.5856394
"8705","서울시립대로4길",127.0494268,37.5737465
"8721","서초대로15길",126.989361,37.4885625
"8737","서초대로23길",126.9909859,37.4903057
"8753","서초대로25길",126.9931003,37.4901581
"8769","서초대로4길",126.9859554,37.483831
"8785","서초대로64길",127.0213012,37.4932577
"8801","서초대로8길",126.9883057,37.4836546
"8817","서초중앙로8길",127.0190403,37.4869148
"8833","석계로1길",127.0622504,37.6157156
"8849","선릉로121길",127.03999,37.5134419
"8865","선릉로132길",127.0432944,37.5185474
"8881","선릉로133길",127.0394932,37.5180248
"8897","선릉로146길",127.0425973,37.5218251
"8913","선릉로18길",127.0608098,37.4843475
"8929","선유로55길",126.896829,37.5386333
"8945","선유서로24길",126.8875056,37.5237037
"8961","선유서로25길",126.8842256,37.5248443
"8977","선유서로28길",126.8874736,37.5244621
"8993","성균관로5길",126.9944935,37.5858405
"9009","성내로5길",127.1238022,37.5309166
"9025","성대로1길",126.9339831,37.5009852
"9041","성대로29길",126.9367653,37.5005418
"9057","성덕정17길",127.0553511,37.5378048
"9073","성덕정길",127.0521792,37.5380919
"9089","성미산로11길",126.9158095,37.5641098
"9105","성미산로1길",126.9069122,37.5605809
"9121","성미산로32길",126.9235994,37.5634264
"9137","성북로8길",127.0052663,37.5914423
"9153","성산로4길",126.9086457,37.5635576
"9169","성수이로18길",127.05947,37.5420022
"9185","성수이로7길",127.0540282,37.5414146
"9201","성수일로6길",127.0532983,37.5446373
"9217","성안로3길",127.1262496,37.5270165
"9233","성지3길",126.9146143,37.5465078
"9249","세검정로1길",126.9443997,37.5936893
"9265","세무서2길",126.94632,37.58882
"9281","세무서길",126.945948,37.589915
"9297","소담길",126.9537113,37.5471125
"9313","소월로20길",126.9847998,37.5448662
"9329","솔매로41길",127.0226972,37.6271531
"9345","솔매로45길",127.0243371,37.6280969
"9361","솔매로50길",127.027722,37.6243756
"9377","솔샘로65길",127.026574,37.6201967
"9393","솔샘로6길",127.0066862,37.6093665
"9409","송이로23길",127.1265768,37.497003
"9425","송이로32길",127.127438,37.4886476
"9441","송이로36길",127.1290824,37.4843363
"9457","송정12라길",127.067966,37.5508793
"9473","송정4가길",127.0666616,37.5513578
"9489","송파대로30길",127.1196205,37.4955962
"9505","수색로18길",126.8934217,37.5857862
"9521","수색로8길",126.9063763,37.5763013
"9537","수유로12길",127.0213621,37.6325048
"9553","숭문8길",126.9479208,37.5506337
"9569","숭문길",126.9460514,37.5502524
"9585","숭인동길",127.021663,37.5766848
"9601","승방길",126.9789247,37.4726408
"9617","시루봉로23길",127.0414802,37.6734529
"9633","시흥대로120길",126.9001857,37.4687061
"9649","시흥대로138길",126.899362,37.4723054
"9665","시흥대로141길",126.8975726,37.475232
"9681","시흥대로150길",126.9007077,37.47636
"9697","시흥대로153길",126.8952629,37.4768068
"9713","시흥대로22길",126.9062836,37.4408719
"9729","시흥대로36길",126.9061406,37.4434656
"9745","시흥대로62가길",126.9027831,37.4554253
"9761","시흥대로63길",126.8975189,37.4553132
"9777","시흥대로68길",126.902525,37.4575775
"9793","시흥대로84길",126.9013164,37.4610842
"9809","시흥대로94길",126.9040062,37.4423787
"9825","신길로17길",126.9064396,37.4983124
"9841","신길로39길",126.9084998,37.5069987
"9857","신길로42가길",126.915009,37.5091359
"9873","신길로42길",126.9132109,37.506933
"9889","신길로60길",126.9133292,37.5133668
