trdar_cd_nm,Latitude,Longitude
양화로11길,37.5520737,126.91491
양화로1길,37.5510293,126.9095359
양화진길,37.5472123,126.9123077
언남길,37.4727204,127.0425368
언주로81길,37.4997267,127.041232
여의대방로22길,37.4977803,126.9244029
여의대방로22나길,37.4959515,126.9222111
여의대방로22카길,37.4965658,126.9258526
여의대방로24길,37.4986358,126.9245786
여의대방로35길,37.5015391,126.9183793
여의대방로39길,37.5030765,126.9191151
여의대방로43나길,37.5069023,126.9208094
여의대방로46길,37.5107973,126.9261067
여의대방로61길,37.5150888,126.9232333
역말로9길,37.6132182,126.9219924
연서로11길,37.6084421,126.9135083
연서로13길,37.6096633,126.9131031
연서로16길,37.6092322,126.9183338
연서로17길,37.6136331,126.9146012
연서로21길,37.6152234,126.9157423
연서로27길,37.6180865,126.917352
연서로28길,37.6174348,126.921456
연서로29길,37.6194614,126.9181893
연서로33길,37.6219056,126.9242014
연서로34길,37.621558,126.9287758
연서로3길,37.6024986,126.9126299
연서로41길,37.6265211,126.9261025
연서로5길,37.6038091,126.9124613
연희로10길,37.5651751,126.932779
영동대로112길,37.515319,127.0626462
영동대로65길,37.5016741,127.0633623
영등포로25길,37.5224419,126.8976133
영등포로27길,37.522302,126.8991238
영등포로35길,37.5216207,126.9041803
영등포로62길,37.5158026,126.9150029
영등포로80길,37.5113127,126.9200009
영등포로84길,37.5108686,126.9219127
영신로9길,37.5119467,126.9069956
오금로11길,37.515419,127.1111991
오금로36길,37.5008125,127.1232621
오금로46길,37.4944392,127.1336981
오류로8길,37.4929369,126.8452594
오목로23길,37.5265189,126.8503105
오목로30길,37.523087,126.8541609
오목로3길,37.5228295,126.8388323
오목로5길,37.5241155,126.8402518
오패산로19길,37.609482,127.0346286
오패산로30길,37.6146092,127.0350209
오패산로3길,37.6069192,127.0346516
오패산로4길,37.6040349,127.040091
오패산로52길,37.6259244,127.0316406
오패산로67길,37.635805,127.0265312
옥인길,37.5812744,126.9662052
올림픽로48길,37.5292454,127.1213668
올림픽로71길,37.5407341,127.1220685
올림픽로77길,37.5432728,127.1232147
올림픽로78길,37.5425904,127.1262078
올림픽로80길,37.5426719,127.1273736
올림픽로98길,37.5505528,127.1292451
와우산로29가길,37.5540112,126.9266367
와우산로29길,37.5554309,126.9282194
와우산로3길,37.545837,126.921513
왕산로32길,37.5769233,127.0410056
왕산로33길,37.5810391,127.0416586
왕산로43길,37.5845913,127.0477201
왕십리로14길,37.5486629,127.0461635
왕십리로21길,37.5598586,127.0309134
왕십리로26길,37.5643747,127.0329317
왕십리로31길,37.5633966,127.027756
왕십리로6길,37.545465,127.046906
