num,trdar_cd_nm,lon,lat
314,화랑로40길,127.0627789,37.6130719
315,노해로17길,127.0201303,37.6404746
316,노해로23길,127.0203077,37.6457744
317,노해로33길,127.0214865,37.6474177
318,덕릉로40길,127.0318339,37.6340142
319,덕릉로41길,127.0289728,37.6373968
320,도봉로13길,127.0345749,37.6662661
321,도봉로18길,127.0488039,37.6616965
322,도봉로45길,127.0236188,37.6237756
323,도봉로67길,127.0220894,37.6299041
324,도봉로76길,127.0255617,37.6333942
325,도봉로8길,127.032195,37.6119214
326,도봉로99길,127.02809,37.6428374
327,삼각산로28길,127.0198882,37.6384924
328,삼양로20길,127.0234682,37.6144675
329,삼양로24길,127.0225053,37.6171174
330,삼양로27길,127.0194937,37.6185492
331,삼양로41길,127.0175304,37.621758
332,삼양로54길,127.0224032,37.6236253
333,삼양로77길,127.0154847,37.629088
334,삼양로93길,127.0162564,37.6374493
335,솔매로41길,127.0226972,37.6271531
336,솔매로45길,127.0243371,37.6280969
337,솔매로50길,127.027722,37.6243756
338,솔샘로65길,127.026574,37.6201967
339,수유로12길,127.0213621,37.6325048
340,오패산로30길,127.0350209,37.6146092
341,오패산로52길,127.0316406,37.6259244
342,오패산로67길,127.0265312,37.635805
343,인수봉로56길,127.013997,37.636326
344,인수봉로72길,127.0125506,37.6429593
345,인수봉로79길,127.0076479,37.6429521
346,한천로109길,127.0415812,37.6275777
347,한천로124나길,127.0305989,37.6386149
348,한천로130길,127.0318719,37.6397691
349,한천로132길,127.0301882,37.6410487
350,한천로139가길,127.0238049,37.6412297
351,한천로140길,127.0275736,37.641548
352,노해로60길,127.0337378,37.6488791
353,노해로63다길,127.0457618,37.6544893
354,덕릉로60길,127.0445914,37.6312489
355,도당로13가길,127.0385755,37.6670432
356,도당로13바길,127.0362243,37.6683744
357,도당로19길,127.0394536,37.6692645
358,도당로29길,127.0420418,37.6692855
359,도봉로109길,127.0301948,37.6475407
360,도봉로114길,127.0368443,37.6475056
361,도봉로143길,127.039807,37.6619205
362,도봉로147길,127.0398432,37.6651558
363,도봉로152가길,127.0450049,37.6739277
364,도봉로156길,127.045602,37.67305
365,도봉로169나길,127.0434158,37.6768693
366,도봉로181길,127.042155,37.6852639
367,도봉산4길,127.0422625,37.6883645
368,도봉산길,127.0336271,37.6879391
369,방학로10길,127.0341054,37.6640702
370,방학로15길,127.0238181,37.6603412
371,방학로5길,127.0382371,37.6614038
372,방학로6가길,127.0384357,37.6653933
373,삼양로144길,127.0141472,37.6517028
374,시루봉로23길,127.0414802,37.6734529
375,우이천로32길,127.0250966,37.6494197
376,우이천로4다길,127.040217,37.6356609
377,해등로16길,127.0426478,37.6553013
378,공릉로58길,127.0734024,37.6351591
379,동일로173가길,127.0726318,37.6216387
380,동일로192길,127.0760258,37.6268785
381,동일로242길,127.0577785,37.6749848
382,상계로12길,127.0693811,37.6565894
383,상계로1길,127.062051,37.6583056
384,상계로9가길,127.0675733,37.6594541
385,석계로1길,127.0622504,37.6157156
386,한글비석로22길,127.074078,37.660971
387,한글비석로24길,127.0726236,37.6626414
388,한글비석로44길,127.0704121,37.6644142
389,가좌로7길,126.9193356,37.586362
